id,brand,title,slug,category,subcategory,imageCount,availableLocalSlugMatches,needsExternalImages,colors,hasColorVariant,imageSource,imageSourceUrl
"prod_accessory_011","Bauer","BAUER Elite Carry Bag Senior S24","bauer-elite-carry-bag-senior-s24","Accessories","Bags","2","2","true","Black|Navy|Grey","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-elite-senior-carry-hockey-bag-1"
"prod_hockey_tape_012","CCM","CCM Waxed Molded Tip Laces","ccm-waxed-molded-tip-laces","Accessories","Laces","3","3","true","Black|White","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/source-for-sports-molded-tip-hockey-skate-laces-white-black"
"prod_apparel_013","CCM","CCM Canada Hoodie Adult","ccm-canada-hoodie-adult","Apparel","Hoodies","4","4","true","Red|Black","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-essentials-senior-pullover-hoodie"
"prod_apparel_014","Edea","Edea Piano Figure Skating Boot","edea-piano-figure-skating-boot","Skates","Figure Boots","4","4","true","Navy|Black|Plum","false","Skates US product page","https://skatesus.com/product/edea-piano-figure-skating-boot/"
"prod_hockey_skate_016","Bauer","BAUER SUPREME SHADOW Skate Senior","bauer-supreme-shadow-skate-senior","Skates","Hockey Skates","6","6","false","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-supreme-shadow-senior-hockey-skates"
"prod_hockey_skate_017","CCM","CCM JETSPEED FT8 PRO Skates Senior","ccm-jetspeed-ft8-pro-skates-senior","Skates","Hockey Skates","6","6","false","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-jetspeed-ft8-pro-senior-hockey-skates"
"prod_hockey_skate_018","Bauer","BAUER VAPOR X4 Skate Intermediate","bauer-vapor-x4-skate-intermediate","Skates","Hockey Skates","6","6","false","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-vapor-x4-intermediate-hockey-skates"
"prod_hockey_skate_019","CCM","CCM TACKS XF PRO Skates Senior","ccm-tacks-xf-pro-skates-senior","Skates","Hockey Skates","6","6","false","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-tacks-xf-pro-senior-hockey-skates"
"prod_hockey_skate_020","Warrior","Warrior Alpha LX Pro Skate Senior","warrior-alpha-lx-pro-skate-senior","Skates","Hockey Skates","6","6","false","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/warrior-alpha-pro-senior-hockey-skates-1"
"prod_hockey_stick_021","CCM","CCM JETSPEED FT8 PRO Stick Senior","ccm-jetspeed-ft8-pro-stick-senior","Sticks","Composite Sticks","4","4","true","","false","CCM official product page and The Hockey Shop product imagery","https://www.thehockeyshop.com/products/ccm-jetspeed-ft8-pro-senior-hockey-stick-red"
"prod_hockey_stick_022","Warrior","Warrior Covert QR7 Pro Stick Senior","warrior-covert-qr7-pro-stick-senior","Sticks","Composite Sticks","4","4","true","","false","Warrior official product page","https://www.warrior.com/en/product/qr7-pro-85-sr"
"prod_hockey_stick_023","Bauer","BAUER AG5NT Stick Senior","bauer-ag5nt-2n-stick-senior","Sticks","Composite Sticks","3","3","true","","false","Bauer EU AG5NT product imagery","https://eu.bauer.com/products/agent-ultra-light-boron-fiber-senior"
"prod_hockey_stick_024","CCM","CCM Ribcor Trigger 9 Pro Stick Senior","ccm-ribcor-trigger-9-pro-stick-senior","Sticks","Composite Sticks","4","4","true","","false","The Hockey Shop CCM Trigger 9 Pro listing","https://www.thehockeyshop.com/products/ccm-ribcor-trigger-9-pro-senior-hockey-stick"
"prod_hockey_stick_025","Warrior","Warrior Alpha LX2 Pro Stick Senior","warrior-alpha-lx2-pro-stick-senior","Sticks","Composite Sticks","3","3","true","","false","Hoopsking Warrior Alpha LX2 Pro listing","https://hoopsking.com/products/warrior-alpha-lx2-pro-stick-senior"
"prod_protective_026","Bauer","BAUER RE-AKT 155 Helmet Combo Senior","bauer-re-akt-155-helmet-combo-senior","Protective","Helmets","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-re-akt-155-hockey-helmet-cage-combo"
"prod_protective_027","Warrior","Warrior Alpha One Pro Helmet Senior","warrior-alpha-one-pro-helmet-senior","Protective","Helmets","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/warrior-alpha-one-pro-hockey-helmet"
"prod_protective_028","Bauer","BAUER Supreme Shadow Gloves Senior","bauer-supreme-shadow-gloves-senior","Protective","Hockey Gloves","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-supreme-f50-pro-senior-hockey-gloves"
"prod_protective_029","CCM","CCM TACKS XF PRO Gloves Senior","ccm-tacks-xf-pro-gloves-senior","Protective","Hockey Gloves","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-tacks-xf-pro-senior-hockey-gloves"
"prod_protective_030","Warrior","Warrior Alpha LX Pro Senior Hockey Shoulder Pads","warrior-alpha-lx2-pro-shoulder-pads-senior","Protective","Shoulder Pads","3","3","true","Black|Navy|Red","true","thehockeyshop.com product page","https://www.thehockeyshop.com/products/warrior-alpha-lx-pro-senior-hockey-shoulder-pads"
"prod_protective_031","Bauer","BAUER Vapor FLYLITE Elbow Pads Senior","bauer-vapor-flylite-elbow-pads-senior","Protective","Elbow Pads","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-vapor-flylite-senior-hockey-elbow-pads"
"prod_protective_032","CCM","CCM JETSPEED FT8 PRO Shin Guards Senior","ccm-jetspeed-ft8-pro-shin-guards-senior","Protective","Shin Guards","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-jetspeed-ft8-pro-senior-hockey-shin-guards"
"prod_protective_033","Bauer","BAUER Supreme Mach Pants Senior","bauer-supreme-mach-pants-senior","Protective","Hockey Pants","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-supreme-mach-senior-hockey-pants"
"prod_goalie_034","CCM","CCM AXIS XF Goalie Pads Senior","ccm-axis-xf-goalie-pads-senior","Goalie","Goalie Pads","4","4","true","White|White/Black|White/Navy","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-axis-xf-senior-goalie-leg-pads"
"prod_goalie_035","Bauer","BAUER Supreme Shadow Goalie Catch Glove Senior","bauer-supreme-shadow-goalie-catch-glove-senior","Goalie","Goalie Gloves","3","3","true","White|White/Black|White/Navy","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-supreme-fuse-senior-goalie-catcher"
"prod_goalie_036","Warrior","Warrior Ritual G7 Pro Goalie Blocker Senior","warrior-ritual-g7-pro-goalie-blocker-senior","Goalie","Goalie Blockers","3","3","true","White|White/Black|White/Navy","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/warrior-g7-senior-goalie-blocker"
"prod_goalie_037","CCM","CCM AXIS XF Goalie Chest Protector Senior","ccm-axis-xf-goalie-chest-protector-senior","Goalie","Goalie Chest Protectors","5","5","false","White|White/Black|White/Navy","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-axis-2-senior-chest-arm-protector"
"prod_goalie_038","Bauer","BAUER 960 Goalie Mask Senior","bauer-960-goalie-mask-senior","Goalie","Goalie Masks","5","5","false","White|White/Black|White/Navy","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-960-senior-goalie-mask-1"
"prod_figure_039","Jackson","Jackson Ultima Premiere Fusion FS2800 Figure Skates","jackson-ultima-premiere-fusion-fs2800-figure-skates","Skates","Figure Skates","5","5","false","","false","Jackson Ultima official product page","https://jacksonultima.com/products/premiere-fusion-2802"
"prod_figure_040","Jackson","Jackson Ultima Elle Fusion FS2130 Figure Skates","jackson-ultima-elle-fusion-fs2130-figure-skates","Skates","Figure Skates","5","5","false","","false","Jackson Ultima official product page","https://jacksonultima.com/products/elle-2130"
"prod_figure_041","Jackson","Jackson Ultima Artiste Plus JS1791 Figure Skates","jackson-ultima-artiste-plus-js1791-figure-skates","Skates","Figure Skates","5","5","false","","false","Jackson Ultima official product page","https://jacksonultima.com/products/artiste-1792"
"prod_figure_042","Edea","Edea Chorus Figure Skating Boot","edea-chorus-figure-skating-boot","Skates","Figure Boots","5","5","false","","false","Skates US product page","https://skatesus.com/product/edea-chorus-figure-skating-boot/"
"prod_figure_043","Edea","Edea Concerto Figure Skating Boot","edea-concerto-figure-skating-boot","Skates","Figure Boots","5","5","false","","false","Skates US product page","https://skatesus.com/product/edea-concerto-figure-skating-boot/"
"prod_figure_044","Edea","Edea Overture Figure Skating Boot","edea-overture-figure-skating-boot","Skates","Figure Boots","5","5","false","","false","Skates US product page","https://skatesus.com/product/edea-overture-figure-skating-boot/"
"prod_figure_accessory_045","Jackson","Jackson Ultima Aspire XP Figure Blade","jackson-ultima-aspire-xp-figure-blade","Accessories","Figure Blades","2","2","true","","false","Jackson Ultima official product page","https://jacksonultima.com/products/aspire-xp-1"
"prod_figure_accessory_046","Jackson","Jackson Ultima Matrix Supreme Figure Blade","jackson-ultima-matrix-supreme-figure-blade","Accessories","Figure Blades","3","3","true","","false","Jackson Ultima official product page","https://jacksonultima.com/products/matrix-advanced"
"prod_figure_accessory_047","Edea","Edea E-Guards Skate Guards","edea-e-guards-skate-guards","Accessories","Skate Guards","4","4","true","Black|White|Blue","true","Skates US product page","https://skatesus.com/product/edea-e-guards-small-skating-blade-guard/"
"prod_figure_accessory_048","Jackson","Jackson Ultima Soakers","jackson-ultima-soakers","Accessories","Skate Accessories","3","1","true","Black|White|Blue","true","",""
"prod_accessory_049","Bauer","BAUER Premium Wheeled Hockey Bag","bauer-premium-wheeled-hockey-bag","Accessories","Bags","3","3","true","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-premium-senior-wheel-hockey-bag"
"prod_accessory_050","CCM","CCM Team Carry Bag Senior","ccm-team-carry-bag-senior","Accessories","Bags","3","3","true","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-550-elite-senior-carry-hockey-bag"
"prod_accessory_051","Warrior","Warrior Pro Hockey Backpack","warrior-pro-hockey-backpack","Accessories","Bags","3","3","true","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/warrior-a20-wheel-backpack-hockey-bag"
"prod_accessory_052","Bauer","BAUER Prodigy Youth Hockey Stick Bag","bauer-prodigy-youth-hockey-stick-bag","Accessories","Stick Bags","3","3","true","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-individual-hockey-stick-bag"
"prod_apparel_053","Bauer","Bauer Team Fleece Full Zip Senior Hoody (2023)","bauer-vapor-team-hoodie-adult","Apparel","Hoodies","3","3","true","Black|Grey|Navy","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-team-fleece-full-zip-senior-hoody"
"prod_apparel_054","Warrior","Warrior Alpha X Tech short sleeve T-shirt Black","warrior-team-tech-tee-adult","Apparel","Shirts","3","3","true","Black|Grey|Navy","true","Tradeinn product page","https://www.tradeinn.com/hockey/en/warrior-alpha-x-tech-short-sleeve-t-shirt/140363090/p"
"prod_apparel_055","CCM","S24 Bauer Team Senior Midweight Jacket","ccm-team-training-jacket-adult","Apparel","Jackets","3","3","true","Black|Grey|Navy","true","thehockeyshop.com product page","https://www.thehockeyshop.com/products/s24-bauer-team-senior-midweight-jacket"
"prod_skate_056","Bauer","BAUER Supreme M50 Pro Skate Senior","bauer-supreme-m50-pro-skate-senior","Skates","Hockey Skates","6","6","false","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-supreme-m50-pro-senior-hockey-skates"
"prod_skate_057","Bauer","BAUER Vapor X5 Pro Skate Senior","bauer-vapor-x5-pro-skate-senior","Skates","Hockey Skates","6","6","false","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-vapor-x5-pro-senior-hockey-skates"
"prod_skate_058","CCM","CCM Tacks XR Senior Hockey Skates","ccm-ribcor-100k-pro-skates-senior","Skates","Hockey Skates","4","4","true","","false","thehockeyshop.com product page","https://www.thehockeyshop.com/products/ccm-tacks-xr-senior-hockey-skates"
"prod_skate_059","CCM","CCM Tacks AS-V Pro Skates Senior","ccm-tacks-as-v-pro-skates-senior","Skates","Hockey Skates","6","6","false","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-tacks-as-v-pro-senior-hockey-skates"
"prod_skate_060","Jackson","Jackson Ultima Excel JS1290 Figure Skates","jackson-ultima-excel-js1290-figure-skates","Skates","Figure Skates","5","5","false","","false","Jackson Ultima official product page","https://jacksonultima.com/products/excel-1290"
"prod_stick_061","Bauer","BAUER Nexus Tracer Stick Senior","bauer-nexus-tracer-stick-senior","Sticks","Composite Sticks","3","3","true","","false","Bauer official product page","https://www.bauer.com/products/nexus-tracer-stick-senior"
"prod_stick_062","Bauer","BAUER Vapor Flylite Stick Senior","bauer-vapor-flylite-stick-senior","Sticks","Composite Sticks","3","3","true","","false","Bauer official product page","https://www.bauer.com/products/mybauer-vapor-flylite-grip-stick-senior"
"prod_stick_063","CCM","CCM Tacks XF Pro Stick Senior","ccm-tacks-xf-pro-stick-senior","Sticks","Composite Sticks","4","4","true","","false","The Hockey Shop CCM Tacks XF Pro listing","https://www.thehockeyshop.com/products/ccm-tacks-xf-pro-senior-hockey-stick"
"prod_stick_064","Warrior","Warrior Novium 2 Pro Stick Senior","warrior-novium-2-pro-stick-senior","Sticks","Composite Sticks","4","4","true","","false","Warrior official product page","https://www.warrior.com/en/product/novium2-pro-70-sr-stick"
"prod_stick_065","Warrior","Warrior Covert QR6 Pro Stick Senior","warrior-covert-qr6-pro-stick-senior","Sticks","Composite Sticks","3","3","true","","false","US Hockey Supply Warrior QR6 Pro listing","https://ushockeysupply.com/products/warrior-covert-qr6-pro-senior-hockey-stick"
"prod_protective_more_066","Bauer","BAUER RE-AKT 85 Helmet Combo Senior","bauer-re-akt-85-helmet-combo-senior","Protective","Helmets","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-re-akt-85-hockey-helmet"
"prod_protective_more_067","CCM","CCM Tacks 910 Helmet Senior","ccm-tacks-910-helmet-senior","Protective","Helmets","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-tacks-920-hockey-helmet"
"prod_protective_more_068","Warrior","Warrior Alpha LX2 Pro Gloves Senior","warrior-alpha-lx2-pro-gloves-senior","Protective","Hockey Gloves","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/warrior-alpha-lx3-senior-hockey-gloves"
"prod_protective_more_069","Bauer","BAUER Vapor Hyperlite 2 Gloves Senior","bauer-vapor-hyperlite-2-gloves-senior","Protective","Hockey Gloves","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-vapor-flylite-senior-hockey-gloves"
"prod_protective_more_070","CCM","CCM Jetspeed FT680 Elbow Pads Senior","ccm-jetspeed-ft680-elbow-pads-senior","Protective","Elbow Pads","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-jetspeed-ft8-senior-hockey-elbow-pads"
"prod_protective_more_071","Warrior","Warrior Alpha LX Pro Senior Shin Guard","warrior-alpha-lx2-pro-shin-guards-senior","Protective","Shin Guards","2","2","true","Black|Navy|Red","true","crowssports.com product page","https://www.crowssports.com/products/warrior-alpha-lx-pro-senior-shin-guard"
"prod_protective_more_072","Bauer","BAUER Supreme M5 Pro Shoulder Pads Senior","bauer-supreme-m5-pro-shoulder-pads-senior","Protective","Shoulder Pads","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-supreme-m5-pro-senior-hockey-shoulder-pads"
"prod_protective_more_073","CCM","CCM Tacks XF Pro Pants Senior","ccm-tacks-xf-pro-pants-senior","Protective","Hockey Pants","5","5","false","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-tacks-xf-pro-senior-hockey-pants"
"prod_goalie_more_074","Bauer","BAUER Vapor Hyperlite 2 Goalie Pads Senior","bauer-vapor-hyperlite-2-goalie-pads-senior","Goalie","Goalie Pads","3","3","true","White|White/Black|White/Navy","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-vapor-hyperlite-custom-goalie-leg-pads"
"prod_goalie_more_075","CCM","CCM AXIS F9 Goalie Glove Senior","ccm-axis-f9-goalie-glove-senior","Goalie","Goalie Gloves","3","3","true","White|White/Black|White/Navy","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-axis-f9-senior-goalie-catcher"
"prod_goalie_more_076","Warrior","Warrior Ritual G7 Pro Goalie Pads Senior","warrior-ritual-g7-pro-goalie-pads-senior","Goalie","Goalie Pads","4","4","true","White|White/Black|White/Navy","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/warrior-rtl-g7-senior-goalie-leg-pads"
"prod_goalie_more_077","Bauer","BAUER Supreme M5 Pro Goalie Blocker Senior","bauer-supreme-m5-pro-goalie-blocker-senior","Goalie","Goalie Blockers","3","3","true","White|White/Black|White/Navy","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-supreme-fuse-senior-goalie-blocker"
"prod_goalie_more_078","CCM","CCM Axis XF Goalie Mask Senior","ccm-axis-xf-goalie-mask-senior","Goalie","Goalie Masks","6","6","false","White|White/Black|White/Navy","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-axis-xf-senior-goalie-mask"
"prod_figure_more_079","Edea","Edea Flamenco Ice Figure Skating Boot","edea-flamenco-ice-figure-skating-boot","Skates","Figure Boots","5","5","false","","false","Skates US product page","https://skatesus.com/product/edea-flamenco-ice-skating-boot/"
"prod_figure_more_080","Edea","Edea Wave Figure Skating Boot","edea-wave-figure-skating-boot","Skates","Figure Boots","5","5","false","","false","Skates US product page","https://skatesus.com/product/edea-wave-figure-roller-skate-boot/"
"prod_figure_more_081","Jackson","Jackson Ultima Debut Fusion FS2450 Figure Skates","jackson-ultima-debut-fusion-fs2450-figure-skates","Skates","Figure Skates","5","5","false","","false","Jackson Ultima official product page","https://jacksonultima.com/products/debut-fusion-2452-2453"
"prod_figure_more_082","Jackson","Jackson Ultima Mystique JS1490 Figure Skates","jackson-ultima-mystique-js1490-figure-skates","Skates","Figure Skates","5","5","false","","false","Jackson Ultima official product page","https://jacksonultima.com/products/mystique-1490"
"prod_figure_more_083","Jackson","Jackson Ultima Excel JS1291 Figure Skates Youth","jackson-ultima-excel-js1291-figure-skates-youth","Skates","Figure Skates","5","5","false","","false","Jackson Ultima official product page","https://jacksonultima.com/products/excel-1290"
"prod_figacc_more_084","Jackson","Jackson Ultima Legacy 8 Figure Blade","jackson-ultima-legacy-8-figure-blade","Accessories","Figure Blades","3","3","true","","false","Jackson Ultima official product page","https://jacksonultima.com/products/legacy-8"
"prod_figacc_more_085","Jackson","Jackson Ultima Apex Elite Figure Blade","jackson-ultima-apex-elite-figure-blade","Accessories","Figure Blades","3","3","true","","false","Jackson Ultima official product page","https://jacksonultima.com/products/apex-advanced"
"prod_figacc_more_086","Edea","Edea Spinner Off-Ice Training Tool","edea-spinner-off-ice-training-tool","Accessories","Skate Accessories","3","3","true","Black|White|Pink","true","Skates US product page","https://skatesus.com/product/edea-spinner-rotation-roller-figure-skating-training-tool/"
"prod_figacc_more_087","Edea","Edea Lace Straps","edea-lace-straps","Accessories","Skate Accessories","2","2","true","Black|White|Pink","true","Skates US product page","https://skatesus.com/product/edea-lace-straps/"
"prod_accessory_more_088","Bauer","BAUER Pro Carry Bag Senior","bauer-pro-carry-bag-senior","Accessories","Bags","2","2","true","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-core-senior-carry-hockey-bag"
"prod_accessory_more_089","CCM","CCM Jetspeed Backpack","ccm-jetspeed-backpack","Accessories","Bags","2","2","true","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-premium-backpack-bag"
"prod_accessory_more_090","Warrior","Warrior Q20 Cargo Wheel Bag","warrior-q20-cargo-wheel-bag","Accessories","Bags","3","3","true","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/warrior-a20-senior-wheel-hockey-bag"
"prod_accessory_more_091","Bauer","BAUER Team Stick Bag","bauer-team-stick-bag","Accessories","Stick Bags","3","3","true","Black|Navy|Red","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-individual-hockey-stick-bag"
"prod_accessory_more_092","CCM","JRZ CCM Prolite Stainless Steel Runner - 2 Pack","ccm-proline-steel-runner-pouch","Accessories","Skate Accessories","2","2","true","Black|Navy|Red","true","thehockeyshop.com product page","https://www.thehockeyshop.com/products/jrz-ccm-prolite-stainless-steel-runner-2-pack"
"prod_apparel_more_093","Bauer","BAUER Team Polo Adult","bauer-team-polo-adult","Apparel","Shirts","3","3","true","Black|Grey|Navy","true","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-s24-team-polo-senior"
"prod_apparel_more_094","CCM","S23 Bauer Team Woven Senior Joggers","ccm-core-fleece-jogger-adult","Apparel","Pants","3","3","true","Black|Grey|Navy","true","thehockeyshop.com product page","https://www.thehockeyshop.com/products/s23-bauer-team-woven-senior-joggers"
"prod_apparel_more_095","Warrior","Warrior Alpha X Performance hoodie Black","warrior-alpha-performance-hoodie-adult","Apparel","Hoodies","3","3","true","Black|Grey|Navy","true","Tradeinn product page","https://www.tradeinn.com/hockey/en/warrior-alpha-x-performance-hoodie/140363046/p"
"prod_skate_extra_096","CCM","CCM Tacks XF80 Senior Hockey Skates","ccm-tacks-as-580-skates-senior","Skates","Hockey Skates","2","2","true","","false","thehockeyshop.com product page","https://www.thehockeyshop.com/products/ccm-tacks-xf80-senior-hockey-skates"
"prod_skate_extra_097","Bauer","BAUER Supreme M40 Skate Senior","bauer-supreme-m40-skate-senior","Skates","Hockey Skates","4","4","true","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-supreme-m40-senior-hockey-skates"
"prod_skate_extra_098","Bauer","BAUER Vapor X3 Skate Senior","bauer-vapor-x3-skate-senior","Skates","Hockey Skates","4","4","true","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-vapor-x3-intermediate-hockey-skates"
"prod_skate_extra_099","CCM","CCM Jetspeed FT680 Skates Senior","ccm-jetspeed-ft680-skates-senior","Skates","Hockey Skates","4","4","true","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/ccm-jetspeed-ft680-senior-hockey-skates"
"prod_skate_extra_100","Bauer","BAUER X-LP Skate Senior","bauer-x-lp-skate-senior","Skates","Hockey Skates","4","4","true","","false","The Hockey Shop product page","https://www.thehockeyshop.com/products/bauer-x-lp-senior-hockey-skates"
"prod_skate_extra_101","CCM","CCM Tacks XF70 Junior Hockey Skates","ccm-tacks-as-570-skates-junior","Skates","Hockey Skates","2","2","true","","false","thehockeyshop.com product page","https://www.thehockeyshop.com/products/ccm-tacks-xf70-junior-hockey-skates"
"prod_stick_extra_102","Bauer","BAUER Nexus E5 Pro Stick Senior","bauer-nexus-e5-pro-stick-senior","Sticks","Composite Sticks","1","1","true","","false","SportChek Bauer Nexus E5 Pro listing","https://www.sportchek.ca/en/pdp/bauer-nexus-e5-pro-grip-60-senior-hockey-stick-carbon-fiber-mid-kick-32371993f.html"
"prod_stick_extra_103","CCM","CCM Ribcor Trigger 8 Pro Stick Senior","ccm-ribcor-trigger-8-pro-stick-senior","Sticks","Composite Sticks","2","2","true","","false","The Hockey Shop CCM Trigger 8 Pro listing","https://www.thehockeyshop.com/products/ccm-ribcor-trigger-8-pro-senior-hockey-stick"
"prod_stick_extra_104","Warrior","Warrior Alpha LX Pro Stick Senior","warrior-alpha-lx-pro-stick-senior","Sticks","Composite Sticks","1","1","true","","false","Sportega Warrior Alpha LX Pro listing","https://www.sportega.de/eishockeyschlaeger-warrior-alpha-lx-pro-sr/d97324"
"prod_stick_extra_105","Bauer","BAUER Vapor X5 Pro Stick Senior","bauer-vapor-x5-pro-stick-senior","Sticks","Composite Sticks","2","2","true","","false","The Hockey Shop Bauer Vapor X5 Pro listing","https://www.thehockeyshop.com/products/bauer-vapor-x5-pro-senior-hockey-stick"
"prod_stick_extra_106","CCM","CCM Jetspeed FT7 Pro Stick Senior","ccm-jetspeed-ft7-pro-stick-senior","Sticks","Composite Sticks","2","2","true","","false","The Hockey Shop CCM Jetspeed FT7 Pro listing","https://www.thehockeyshop.com/products/ccm-jetspeed-ft7-pro-senior-hockey-stick"
"prod_stick_extra_107","Warrior","Warrior Covert QR5 Pro Stick Senior","warrior-covert-qr5-pro-stick-senior","Sticks","Composite Sticks","2","2","true","","false","The Hockey Shop Warrior QR5 Pro listing","https://www.thehockeyshop.com/products/warrior-covert-qr5-pro-senior-hockey-stick-extra-long"
